"PCA1","PCA2","PCA3","PCA4","PCA5","UMAP1","UMAP2","cell_id"
-8.88025,33.0149,-8.12473,22.4892,31.8079,12.4048,-1.82086,"X212403"
11.6578,38.4318,-17.0569,30.1256,-17.2581,12.4217,-2.18416,"X768556"
20.8789,13.4668,33.8169,-16.0337,15.5595,11.6737,-0.248656,"X760943"
17.8702,46.4592,-23.561,4.79535,-18.7238,13.4108,-2.63444,"X833630"
-1.94805,-6.1346,11.0706,-16.7089,11.0767,10.7616,-0.779487,"X842594"
-1.2111,-1.87756,9.91828,-23.1722,-8.97577,10.2787,-2.66732,"X728081"
9.68138,-1.95685,16.4054,-35.6864,-11.8369,10.0369,-2.45898,"X340892"
26.659300000000002,-19.6642,23.6618,-32.3235,-25.8696,10.1367,-1.75574,"X101764"
-7.53961,-0.601544,26.0942,6.31275,1.98847,11.0035,-0.565635,"X767862"
2.63851,10.1075,11.5338,-34.2373,-7.305,10.8937,-1.02954,"X538144"
-1.27366,31.948,5.82887,-27.4962,13.8045,10.3708,-2.28277,"X43380"
0.394715,21.0128,15.844,0.34693,23.6168,13.1556,-0.343269,"X199228"
-3.60182,-10.7248,38.5151,50.009,-22.6662,8.89307,-2.0999,"X868228"
-3.57351,24.3167,4.00118,4.06901,1.67977,12.212,-1.55944,"X302656"
20.2969,2.01275,11.6929,-10.6277,5.16595,12.2309,-1.41252,"X280109"
-18.2503,-9.74237,5.1891,-8.41117,25.1229,9.66691,-0.578856,"X660076"
13.5345,-42.0236,-20.6403,-5.67167,8.54286,8.2999,0.555975,"X516107"
6.67023,24.4469,15.9852,7.79786,22.9585,12.7812,-0.781699,"X861639"
9.82876,12.9936,17.934,-26.021,5.40346,10.7772,-1.57129,"X85740"
1.78078,-18.2893,34.7991,-4.15718,-13.4355,9.3034,-2.07297,"X266144"
11.3712,20.8052,12.3617,-10.402,-0.728522,12.0558,-2.71098,"X761561"
-4.41815,5.53237,6.8119,-9.93302,10.5209,10.5128,-0.131011,"X845500"
18.2107,1.7766,-6.14068,-28.891,10.1112,10.6329,-1.45797,"X699637"
10.7347,-2.1228,-29.5749,-34.3661,-10.5568,10.0868,0.509081,"X170137"
14.3618,10.3606,18.7691,-7.64753,3.55612,12.4753,-1.69545,"X214558"
13.4909,2.75118,22.5412,-11.1008,-4.29544,11.615,-1.21435,"X517760"
7.87839,22.1607,15.4946,-12.8273,6.49861,10.6271,-0.932702,"X484109"
10.5343,-80.1272,-47.9629,17.033,-8.02707,7.89207,0.667975,"X23103"
17.3757,14.0438,6.3797,-8.79332,-12.4448,12.5923,-1.88679,"X320247"
10.1932,-41.2967,28.0862,-14.5817,-3.89783,9.16934,-0.863482,"X762770"
4.54731,12.6171,17.4594,-23.9509,-13.0602,10.815,-1.48702,"X137389"
3.78818,10.8426,11.338,2.77156,11.056,12.4011,-0.426582,"X607360"
